diameter,chiral_angle,mod_type,S11,S22,RBM,wl11,wl22,index_n,index_m,SDS%
1.74119,20.8171,1,0.605854,1.11186,140,2046.44,1115.13,16,9,0.175256
1.86696,23.8973,2,0.58093,1.00567,132,2134.26,1232.85,16,11,0.157858
1.93168,25.285,1,0.5558,1.0014,128,2230.74,1238.12,16,12,0.150187
2.06418,27.7958,2,0.526768,0.926839,120,2353.69,1337.72,16,14,0.136596
2.13177,28.933,1,0.509504,0.906954,117,2433.44,1367.05,16,15,0.130568
1.34965,0,2,0.79888,1.26055,178,1552.01,983.584,17,0,0.26679
1.39105,2.83309,1,0.710778,1.39973,173,1744.34,885.797,17,1,0.252829
1.48315,7.99414,2,0.729777,1.18097,163,1698.96,1049.86,17,3,0.226461
1.5333,10.3327,1,0.662053,1.27251,158,1872.72,974.348,17,4,0.214293
1.64054,14.5639,2,0.661145,1.1017,148,1875.32,1125.4,17,6,0.192208
1.69719,16.4738,1,0.614008,1.14861,144,2019.26,1079.44,17,7,0.182283
1.81562,19.9267,2,0.598514,1.0226,135,2071.56,1212.45,17,9,0.164526
1.87706,21.487,1,0.566769,1.03734,131,2187.57,1195.23,17,10,0.156609
2.00375,24.3153,2,0.543476,0.946386,124,2281.34,1310.09,17,12,0.142476
2.06875,25.5981,1,0.521914,0.940634,120,2375.58,1318.1,17,13,0.13617
2.20159,27.9334,2,0.495795,0.875346,114,2500.73,1416.41,17,15,0.124876
2.26926,28.9977,1,0.480568,0.857141,111,2579.97,1446.49,17,16,0.119814
1.47035,2.68018,2,0.737028,1.1832,164,1682.25,1047.88,18,1,0.229793
1.51469,5.20872,1,0.663744,1.29361,160,1867.95,958.458,18,2,0.218653
1.61147,9.82643,2,0.674413,1.10927,151,1838.43,1117.72,18,4,0.197732
1.66343,11.927,1,0.6191,1.17891,146,2002.65,1051.7,18,5,0.18807
1.77347,15.7464,2,0.613939,1.03539,138,2019.52,1197.48,18,7,0.170435
1.83117,17.4802,1,0.575025,1.06992,134,2156.16,1158.84,18,8,0.162447
1.95115,20.633,2,0.55903,0.962725,127,2217.87,1287.85,18,10,0.148022
2.01316,22.0663,1,0.532209,0.972266,123,2329.63,1275.22,18,11,0.141527
2.14062,24.6799,2,0.510571,0.893487,116,2428.36,1387.65,18,13,0.129818
2.20588,25.8722,1,0.491865,0.886883,113,2520.71,1397.99,18,14,0.124542
2.33902,28.0549,2,0.46827,0.829232,108,2647.72,1495.18,18,16,0.115008
2.40675,29.055,1,0.454737,0.812532,105,2726.52,1525.91,18,17,0.110696
1.50844,0,1,0.664156,1.3009,160,1866.79,953.086,19,0,0.220159
1.59377,4.94961,2,0.682826,1.11324,152,1815.78,1113.73,19,2,0.201254
1.64054,7.2229,1,0.621812,1.20062,148,1993.92,1032.69,19,3,0.192208
1.74119,11.3871,2,0.626433,1.04426,140,1979.24,1187.3,19,5,0.175256
1.79467,13.2891,1,0.580714,1.09766,137,2135.03,1129.55,19,6,0.167411
1.90705,16.7637,2,0.572915,0.975699,129,2164.12,1270.73,19,8,0.153017
1.96564,18.3491,1,0.540332,1.00128,126,2294.6,1238.28,19,9,0.146452
2.08695,21.2475,2,0.524421,0.909061,119,2364.24,1363.88,19,11,0.134503
2.14944,22.5723,1,0.501473,0.914931,116,2472.41,1355.14,19,12,0.129079
2.27758,25.0006,2,0.481432,0.846043,110,2575.34,1465.47,19,14,0.11922
2.34305,26.1142,1,0.465046,0.83899,107,2666.08,1477.79,19,15,0.114741
2.47645,28.1629,2,0.443647,0.787703,102,2794.68,1574.01,19,17,0.106584
2.54424,29.106,1,0.431538,0.77235,100,2873.09,1605.3,19,18,0.102868
1.58783,0,2,0.685712,1.11446,153,1808.14,1112.52,20,0,0.202465
1.62897,2.41903,1,0.622913,1.21198,149,1990.39,1023.01,20,1,0.194368
1.71933,6.89026,2,0.635261,1.04969,142,1951.74,1181.16,20,3,0.178678
1.76813,8.94828,1,0.584212,1.11898,138,2122.25,1108.03,20,4,0.171214
1.87202,12.7305,2,0.584553,0.985334,131,2121.04,1258.31,20,6,0.15723
1.92677,14.4649,1,0.546319,1.0266,128,2269.45,1207.74,20,7,0.150742
2.04115,17.6475,2,0.536956,0.921883,122,2309.05,1344.91,20,9,0.138778
2.1005,19.1066,1,0.509328,0.940901,118,2434.28,1317.74,20,10,0.133289
2.22296,21.7868,2,0.493839,0.860774,113,2510.64,1440.39,20,12,0.123232
2.28586,23.0179,1,0.47399,0.864027,110,2615.77,1434.97,20,13,0.118633
2.41459,25.285,2,0.455446,0.803278,105,2722.28,1543.49,20,15,0.110217
2.48027,26.3295,1,0.44097,0.796039,102,2811.64,1557.53,20,16,0.106368
2.61389,28.2595,2,0.421487,0.750113,98,2941.61,1652.88,20,18,0.0993101
2.68174,29.1519,1,0.410589,0.735965,95,3019.68,1684.66,20,19,0.0960736
1.7083,2.30664,2,0.639837,1.05223,143,1937.78,1178.31,21,1,0.180457
1.75201,4.50159,1,0.58602,1.13244,140,2115.7,1094.87,21,2,0.173609
1.8466,8.56512,2,0.593372,0.991851,133,2089.52,1250.04,21,4,0.160437
1.8971,10.4403,1,0.550366,1.04701,130,2252.76,1184.19,21,5,0.15419
2.00375,13.8979,2,0.547737,0.931886,124,2263.6,1330.47,21,7,0.142476
2.05959,15.4895,1,0.515408,0.963988,121,2405.56,1286.18,21,8,0.137025
2.17567,18.4222,2,0.505194,0.873242,115,2454.21,1419.82,21,10,0.12693
2.23568,19.7726,1,0.481503,0.887386,112,2574.95,1397.2,21,11,0.122273
2.35914,22.2639,2,0.466622,0.81715,107,2657.08,1517.29,21,13,0.113692
2.42241,23.4132,1,0.449287,0.818524,104,2759.59,1514.75,21,14,0.109745
2.55166,25.5388,2,0.432125,0.764553,100,2869.19,1621.67,21,16,0.102477
2.61751,26.5222,1,0.419243,0.757299,97,2957.35,1637.2,21,17,0.0991322
2.75134,28.3465,2,0.401439,0.715932,93,3088.51,1731.8,21,19,0.0929652
2.81923,29.1932,1,0.391578,0.702861,91,3166.29,1764,21,20,0.0901213
1.74661,0,1,0.586567,1.13704,140,2113.72,1090.43,22,0,0.174427
1.83117,4.30662,2,0.598886,0.995571,134,2070.28,1245.37,22,2,0.162447
1.87706,6.3088,1,0.552785,1.06138,131,2242.9,1168.16,22,3,0.156609
1.97523,10.0229,2,0.556316,0.939139,125,2228.7,1320.2,22,5,0.14543
2.0272,11.7415,1,0.519804,0.983271,122,2385.21,1260.96,22,6,0.140134
2.1362,14.9209,2,0.515156,0.883335,117,2406.76,1403.6,22,8,0.130191
2.19298,16.3898,1,0.48754,0.908458,114,2543.06,1364.8,22,9,0.125551
2.31055,19.1066,2,0.476944,0.829147,109,2599.58,1495.33,22,11,0.116922
2.37113,20.3626,1,0.456426,0.839633,106,2716.43,1476.67,22,12,0.112922
2.49547,22.6889,2,0.442244,0.777583,102,2803.55,1594.49,22,14,0.105515
2.55906,23.7664,1,0.426976,0.7776,99,2903.79,1594.46,22,15,0.10209
2.68878,25.7667,2,0.411081,0.729334,95,3016.08,1699.97,22,17,0.0957498
2.75478,26.6957,1,0.399541,0.722174,93,3103.18,1716.83,22,18,0.092817
2.8888,28.4252,2,0.383215,0.684718,89,3235.39,1810.74,22,20,0.0873821
2.95673,29.2308,1,0.374248,0.672613,88,3312.91,1843.33,22,21,0.0848634
1.826,0,2,0.600763,0.996774,134,2063.81,1243.87,23,0,0.163132
1.86696,2.11052,1,0.553893,1.06882,132,2238.41,1160.04,23,1,0.157858
1.95599,6.05325,2,0.562293,0.943808,126,2205.01,1313.67,23,3,0.147493
2.00375,7.8889,1,0.5227,0.997842,124,2372,1242.55,23,4,0.142476
2.10499,11.3018,2,0.523373,0.891037,118,2368.98,1391.47,23,6,0.132891
2.15822,12.8853,1,0.492128,0.926531,116,2519.35,1338.18,23,7,0.128352
2.26926,15.8241,2,0.486144,0.839142,111,2550.39,1477.52,23,9,0.119814
2.32686,17.1866,1,0.462331,0.858899,108,2681.73,1443.54,23,10,0.115817
2.44572,19.7154,2,0.45166,0.789049,103,2745.11,1571.32,23,12,0.108359
2.50681,20.8888,1,0.43373,0.796759,101,2858.57,1556.12,23,13,0.104887
2.63192,23.0698,2,0.420284,0.741559,97,2950.04,1671.95,23,15,0.0984292
2.6958,24.0837,1,0.406734,0.740595,95,3048.3,1674.13,23,16,0.0954289
2.82593,25.9725,2,0.391993,0.697175,91,3162.94,1778.39,23,18,0.08985
2.89207,26.8527,1,0.381595,0.69018,89,3249.13,1796.42,23,19,0.0872574
3.02626,28.4967,2,0.366575,0.656103,86,3382.26,1889.72,23,21,0.0824314
3.09423,29.2649,1,0.358385,0.644866,84,3459.54,1922.65,23,22,0.0801852
1.9463,2.02445,2,0.565364,0.946082,127,2193.03,1310.51,24,1,0.148555
1.98954,3.96323,1,0.524316,1.00693,124,2364.69,1231.33,24,2,0.143932
2.08242,7.58909,2,0.529518,0.896415,119,2341.49,1383.12,24,4,0.134915
2.13177,9.28018,1,0.495369,0.940881,117,2502.87,1317.77,24,5,0.130568
2.23568,12.4316,2,0.493941,0.847073,112,2510.13,1463.69,24,7,0.122273
2.29,13.8979,1,0.466994,0.875766,110,2654.95,1415.75,24,8,0.118343
2.40282,16.6272,2,0.460159,0.798822,105,2694.4,1552.1,24,10,0.110937
2.46113,17.8966,1,0.439448,0.814414,103,2821.37,1522.39,24,11,0.107461
2.58114,20.2604,2,0.428902,0.752469,99,2890.76,1647.71,24,13,0.100952
2.64267,21.3609,1,0.413109,0.758056,97,3001.26,1635.57,24,14,0.097911
2.76847,23.4132,2,0.400398,0.70864,93,3096.55,1749.62,24,16,0.0922309
2.83261,24.3704,1,0.388293,0.706969,91,3193.07,1753.76,24,17,0.0895811
2.96312,26.1593,2,0.374601,0.6677,87,3309.79,1856.9,24,19,0.084634
3.02938,26.9955,1,0.365182,0.660913,86,3395.15,1875.97,24,20,0.0823255
3.16372,28.5621,2,0.351321,0.629776,83,3529.11,1968.71,24,22,0.0780115
3.23173,29.2962,1,0.343812,0.619322,81,3606.18,2001.95,24,23,0.0759958
1.98478,0,1,0.524832,1.01002,125,2362.36,1227.56,25,0,0.144427
2.06875,3.81126,2,0.533323,0.899577,120,2324.78,1378.26,25,2,0.13617
2.11396,5.59942,1,0.497408,0.950861,118,2492.61,1303.94,25,3,0.132104
2.21016,8.94828,2,0.500071,0.852944,113,2479.37,1453.61,25,5,0.124211
2.26091,10.5132,1,0.470466,0.889655,111,2635.35,1393.64,25,6,0.120416
2.36714,13.4363,2,0.467519,0.806818,106,2651.99,1536.72,25,8,0.113177
2.42241,14.8,1,0.444104,0.830123,104,2791.79,1493.59,25,9,0.109745
2.5368,17.3455,2,0.436764,0.761942,100,2838.73,1627.22,25,11,0.103263
2.59575,18.533,1,0.418609,0.774273,98,2961.83,1601.32,25,12,0.100213
2.71676,20.751,2,0.408312,0.718992,94,3036.53,1724.43,25,14,0.0944839
2.7787,21.7868,1,0.394302,0.722943,92,3144.41,1715.01,25,15,0.091798
2.90512,23.7243,2,0.382308,0.678455,89,3243.07,1827.46,25,17,0.0867635
2.96949,24.6307,1,0.371428,0.676277,87,3338.06,1833.35,25,18,0.0844063
3.10033,26.3295,2,0.358689,0.640591,84,3456.62,1935.48,25,20,0.0799894
3.16671,27.1259,1,0.350115,0.634038,83,3541.26,1955.49,25,21,0.0779208
3.30119,28.6219,2,0.337287,0.605475,80,3675.94,2047.73,25,23,0.0740414
3.36923,29.3249,1,0.330377,0.595727,78,3752.83,2081.24,25,24,0.0722224
